id,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label,Attempted Category
1,192.168.10.50-192.168.10.3-56108-3268-6,192.168.10.50,56108,192.168.10.3,,6,2017-07-07 11:59:50.315195,112740690,32,16,6448,1152,403,0,201.5,204.7242047243071,72,72,72.0,0.0,67.41133125937051,0.4257557763749716,2398738.085106384,5798697.939615642,16399772,3,112740690,3636796.451612903,6848760.823251897,16399772,3,112740348,7516023.199999999,8323384.914934128,16400110,3,16,16,0,0,0,0,1024,512,0.283837184249981,0.1419185921249905,0,403,158.33333333333331,177.34175845181005,31450.099290780137,0,0,0,32,48,0,0,0,0.5,158.33333333333334,201.5,72.0,0,0,0,0,0,0,0,134,0,24,377,2079,15,32,359.4285714285714,11.998015708957071,380,343,16105402.142857144,498804.82032836194,16399772,15375229,-1,-1,112740690,DDOS,-1
2,192.168.10.50-192.168.10.3-42144-389-6,192.168.10.50,42144,192.168.10.3,,6,2017-07-07 11:59:50.316273,112740560,32,16,6448,5056,403,0,201.5,204.7242047243071,316,316,316.0,0.0,102.03958539854688,0.4257562673096532,2398735.3191489354,5798709.67038112,16399782,2,112740560,3636792.258064516,6848776.835653429,16399782,2,112740242,7516016.133333333,8323376.147469134,16400110,4,16,16,0,0,0,0,1024,512,0.2838375115397688,0.1419187557698844,0,403,239.66666666666663,174.98417354980364,30619.4609929078,0,0,0,32,48,0,0,0,0.5,239.66666666666663,201.5,316.0,0,0,0,0,0,0,0,134,0,105,955,2079,15,32,320.2857142857143,15.744991645115658,330,285,16105427.428571427,498793.66556050593,16399782,15375263,-1,-1,112740560,DDOS,-1
3,8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2017-07-07 12:00:31.388567,inf,545,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,4.790898088305957,209112.82536764705,1395543.4335203236,20757030,0,113757377,209112.82536764705,1395543.4335203236,20757030,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4.790898088305957,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9361828.6,7324645.8834130205,18851791,19,12210358.4,6935824.001671993,20757030,5504997,-1,-1,0,DDOS,-1
4,192.168.10.25-224.0.0.251-5353-5353-17,192.168.10.25,5353,224.0.0.251,-inf,17,2017-07-07 12:00:42.903850,91997219,388,0,37151,0,227,37,95.74999999999996,55.78532009395031,0,0,0.0,0.0,403.8274243920352,4.217518792606112,237718.9121447028,1511621.936943494,19776791,0,91997219,237718.9121447028,1511621.936943494,19776791,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3104,0,4.217518792606112,0.0,37,227,95.74999999999996,55.78532009395031,3112.001937984496,0,0,0,0,0,0,0,0,0.0,95.75,95.75,0.0,1857,19,9453,0,0,0,1,95,0,0,0,0,387,8,9801663.75,11527818.048299814,24721964,16,13197637.0,5826904.514499787,19776791,5817470,-1,-1,0,DDOS,-1
5,192.168.10.25-17.253.14.125-123-123-17,192.168.10.25,123,17.253.14.125,123,17,2017-07-07 12:00:42.430758,66966070,6,6,288,288,48,48,48.0,0.0,48,48,48.0,0.0,8.601370813607547,0.1791952252834905,6087824.545454546,19538234.76252615,64974431,191,66942603,13388520.6,28861551.296498746,64997739,23560,66942654,13388530.8,28861632.539185856,64997898,23604,0,0,0,0,0,0,48,48,0.0895976126417452,0.0895976126417452,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,5,8,1968172.0,0.0,1968172,1968172,64974431.0,0.0,64974431,64974431,-1,-1,0,DDOS,-1
6,192.168.10.5-192.168.10.3-123-123-17,192.168.10.5,123,192.168.10.3,123,17,2017-07-07 12:00:53.296592,66137889,6,6,288,288,48,48,48.0,0.0,48,48,48.0,0.0,8.709077485070623,0.1814391142723046,6012535.363636363,19448755.095247675,64637028,3,66137817,13227563.4,28746151.468272947,64637102,4,66137770,13227554.0,28746155.18956863,64637100,3,0,0,0,0,0,0,48,48,0.0907195571361523,0.0907195571361523,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,5,8,1500785.0,0.0,1500785,1500785,64637028.0,0.0,64637028,64637028,-1,-1,0,DDOS,-1
7,192.168.10.5-192.168.10.3-49159-445-6,192.168.10.5,49159,192.168.10.3,445,6,2017-07-07 12:00:50.241989,106176490,124,115,34190,46138,3072,0,275.7258064516129,457.272833800418,3254,0,401.1999999999998,540.0161823436242,756.5516622370922,2.2509691175513526,446119.705882353,3421781.8953002538,30004236,1,106176446,863223.1382113821,4731005.771917583,30004280,1,106176479,931372.6228070178,4913672.074286362,30008565,1,98,98,0,0,0,0,2504,2396,1.1678668224952624,1.08310229505609,0,3254,336.10041841004187,501.6898234461249,251692.678949404,0,4,0,196,237,0,0,0,0.9274193548387096,336.10041841004187,275.7258064516129,401.2,0,0,0,15268,7,58949806,0,143,0,193,8192,2053,106,20,215205.0,425384.819456454,974787,43,21020083.6,12378161.351736162,30004236,5349458,-1,-1,106176490,DDOS,-1
8,192.168.10.5-134.170.115.55-49176-443-6,192.168.10.5,49176,134.170.115.55,443,6,2017-07-07 12:00:55.280312,79593267,10,9,1602,5307,421,0,160.2,187.82249303235457,2920,0,589.6666666666666,921.60105251676,86.80382475065385,0.2387136590334959,4421848.166666666,13697441.847582988,54080751,72,79593267,8843696.333333334,18868591.10215026,54145439,17008,79512097,9939012.125,19825146.621524982,54080751,195,5,5,0,0,0,0,212,192,0.1256387679123662,0.1130748911211296,0,2920,363.6315789473683,666.0811771120124,443664.134502924,0,2,0,10,18,0,0,0,0.9,363.6315789473685,160.2,589.6666666666666,0,0,0,0,0,0,0,84,0,279,8192,251,5,20,111508.0,39316.551247534415,139309,83707,39456963.0,20681159.32286892,54080751,24833175,-1,-1,79593267,DDOS,-1
9,192.168.10.9-192.168.10.3-123-123-17,192.168.10.9,123,192.168.10.3,123,17,2017-07-07 12:01:07.159677,64318195,4,4,192,192,48,48,48.0,0.0,48,48,48.0,0.0,5.970316797602917,0.1243815999500607,9188313.57142857,24309909.77789507,64318007,3,64318111,21439370.333333336,37134073.50346581,64318105,3,64318097,21439365.666666664,37134027.3154508,64318047,3,0,0,0,0,0,0,32,32,0.0621907999750303,0.0621907999750303,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,48.0,48.0,48.0,0,0,0,0,0,0,0,24,0,24,0,0,3,8,101.0,0.0,101,101,64318007.0,0.0,64318007,64318007,-1,-1,0,DDOS,-1
10,192.168.10.14-192.168.10.3-49414-445-6,192.168.10.14,49414,192.168.10.3,445,6,2017-07-07 12:00:48.901484,116933759,206,190,42254,54958,3085,0,205.11650485436863,365.8975813242605,3254,0,289.2526315789476,466.75652124562055,831.3424697139857,3.3865327120801787,296034.8329113924,2702330.4899502792,30000694,0,116933718,570408.3804878049,3734537.584373256,30000727,0,116933741,618697.0423280423,3890334.081495693,30005472,1,174,174,0,0,0,0,4144,3896,1.7616811583043357,1.6248515537758434,0,3254,245.48484848484816,418.9230644725422,175496.53394706576,0,4,0,348,394,0,0,0,0.9223300970873788,245.4848484848485,205.1165048543689,289.2526315789474,0,0,0,15268,6,52830449,0,106,0,138,8192,2047,182,20,404153.3333333333,890020.3235024842,2219566,36,19084799.166666664,12040258.268911185,30000694,5323604,-1,-1,116933759,DDOS,-1
